수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-06-28 12:30,1,포켓몬 생태도감 특별판,기노시타 치히로,대원씨아이(단행)(대원키즈),https://www.yes24.com/product/goods/192600376,https://image.yes24.com/goods/192600376/XL,1,-
2026-06-28 12:30,2,서른의 불안을 다루는 법,김용하,헤이북스,https://www.yes24.com/product/goods/192292257,https://image.yes24.com/goods/192292257/XL,52,↑50
2026-06-28 12:30,3,나의 첫 번째 부동산 교과서,송희구,서삼독,https://www.yes24.com/product/goods/190813759,https://image.yes24.com/goods/190813759/XL,,NEW
2026-06-28 12:30,4,주도주 사이클 절대 법칙,한규범,부키,https://www.yes24.com/product/goods/189627438,https://image.yes24.com/goods/189627438/XL,14,↑10
2026-06-28 12:30,5,흔한남매의 흔한 호기심 15,흔한남매 원저,미래엔아이세움,https://www.yes24.com/product/goods/192649321,https://image.yes24.com/goods/192649321/XL,3,↓2
2026-06-28 12:30,6,신 퇴마록 신세편 1,이우혁,반타,https://www.yes24.com/product/goods/192274286,https://image.yes24.com/goods/192274286/XL,20,↑14
2026-06-28 12:30,7,기도수첩 한글 (월간) : 7월 [2026],편집부,생명,https://www.yes24.com/product/goods/191559880,https://image.yes24.com/goods/191559880/XL,,NEW
2026-06-28 12:30,8,원피스 ONE PIECE 114,오다 에이이치로,대원,https://www.yes24.com/product/goods/192110011,https://image.yes24.com/goods/192110011/XL,9,↑1
2026-06-28 12:30,9,복합불황 2027~2030,박홍기,바른북스,https://www.yes24.com/product/goods/192722605,https://image.yes24.com/goods/192722605/XL,46,↑37
2026-06-28 12:30,10,독서의 기술,고명환,라곰,https://www.yes24.com/product/goods/192555379,https://image.yes24.com/goods/192555379/XL,17,↑7
2026-06-28 12:30,11,매스커레이드 라이프,히가시노 게이고,현대문학,https://www.yes24.com/product/goods/192496676,https://image.yes24.com/goods/192496676/XL,8,↓3
2026-06-28 12:30,12,신 퇴마록 신세편 2,이우혁,반타,https://www.yes24.com/product/goods/192274297,https://image.yes24.com/goods/192274297/XL,19,↑7
2026-06-28 12:30,13,인비인,성해나,한겨레출판,https://www.yes24.com/product/goods/192028900,https://image.yes24.com/goods/192028900/XL,10,↓3
2026-06-28 12:30,14,말은 운명을 데려온다,이하영,토네이도,https://www.yes24.com/product/goods/190998248,https://image.yes24.com/goods/190998248/XL,,NEW
2026-06-28 12:30,15,고양이 해결사 깜냥 9,홍민정,창비,https://www.yes24.com/product/goods/189403001,https://image.yes24.com/goods/189403001/XL,,NEW
2026-06-28 12:30,16,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,https://www.yes24.com/product/goods/189116661,https://image.yes24.com/goods/189116661/XL,24,↑8
2026-06-28 12:30,17,이향인,라미 카민스키,21세기북스,https://www.yes24.com/product/goods/182009922,https://image.yes24.com/goods/182009922/XL,89,↑72
2026-06-28 12:30,18,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),https://www.yes24.com/product/goods/101375755,https://image.yes24.com/goods/101375755/XL,,NEW
